outcome_key,domain,question,n_routes,rarity,first_tier,cheapest,most_capable,no_contact,privacy_safe,all_routes
object-present,Objects & assets,Is the thing there?,69,,FOUNDATION,ESP32 native touch pins ($0),M6E-Nano UHF RAIN RFID reader,A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4),ESP32 native touch pins ($0) | ESP32 internal sensors (free!) ($0) | A3144 / SS49E Hall switches ($0.4) | Reed switch ($0.5) | TTP223 single touch ($0.5) | TSOP38238 38kHz IR receiver ($1.0) | BPW34 PIN photodiode ($1.0) | HC-SR04 ultrasonic ($1.5) | QMC5883L compass ($2) | RC522 RFID reader ($2) | Inductive proximity switch M12/M18 ($2.5) | 125kHz RDM6300 RFID ($3) | Photoelectric beam sensor E18-D80NK ($3) | 40kHz ultrasonic transducer pair ($3.0) | Strain gauge + amp ($4) | US-100 ultrasonic w/ temp comp ($4) | AT42QT1070 / QT1010 touch controller ($4.0) | VL53L0X ToF laser ($5) | HX711 + load cell ($5) | Velostat pressure sheets ($5) | Pulse sensor (PPG classic) ($5) | APDS-9960 gesture/color/prox ($6) | JSN-SR04T waterproof ultrasonic ($6) | MMC5603 precision magnetometer ($6) | TLV493D 3D magnetic ($6) | MPR121 12-pad cap touch ($6) | MAX30102 pulse oximeter ($6) | PN532 NFC controller ($6) | VCNL4040 proximity + lux ($6) | GT911 / FT6236 touchscreen controller ($6.0) | Azoteq IQS7211 / IQS263 proximity + touch ($6.0) | FSR402 force resistor ($7) | Capacitive proximity switch M18 ($7.0) | Sharp GP2Y0A21 IR distance ($8) | MLX90393 wide-range 3D mag ($8) | Nano33-style 1kg beam scale kit ($8) | VL6180X short-range ToF ($8) | OV2640 camera (ESP32-CAM) ($8) | SI1145 UV/IR/visible ($8) | Conductive thread + fabric pads ($8) | Bat/dolphin: 40kHz ranging array ($8) | CAP1188 8-channel capacitive touch ($8.0) | A02YYUW waterproof ultrasonic ($9) | Capacitive liquid/force FDC1004 ($9) | LDC1612 inductive sensing ($9) | Scale-hacking: NAU7802 ($12) | PN5180 long-range NFC / ISO15693 reader ($12.0) | VL53L4CD short-range precision ToF ($12.0) | Conductive fabric and tape electrodes ($12.0) | OV5640 5MP autofocus cam ($15) | VL53L4CX multi-target ToF ($15.0) | FDC2214 capacitive proximity front-end ($15.0) | EeonTex piezoresistive fabric ($15.0) | MEMS ultrasonic ToF (Chirp) ($15.0) | Grove Vision AI v2 ($16) | Optical infrared water-in-fuel ($18) | Trill flexible touch sliders ($20) | TF-Luna LiDAR ($25) | Button / pancake load cell ($25.0) | Tactile pressure array ($25.0) | YRM100 low-cost UHF reader module ($32.0) | S-type load cell ($35.0) | DW1000 UWB two-way ranging radio ($40.0) | HuskyLens AI camera ($45) | Retro-reflective photoelectric sensor ($70.0) | Acconeer XM125 pulsed coherent radar ($70.0) | Through-beam photoelectric pair ($95.0) | MaxBotix MB7389 weather LV ($110) | M6E-Nano UHF RAIN RFID reader ($275.0)
object-moved,Objects & assets,Has it been moved or disturbed?,48,,FOUNDATION,ESP32 native touch pins ($0),Bend Labs digital flex (1-axis),RCWL-0516 doppler radar ($1.2),SW-520D ball tilt switch ($0.5),"ESP32 native touch pins ($0) | SW-520D ball tilt switch ($0.5) | SW-420 vibration switch ($1) | KY-040 rotary encoder ($1) | RCWL-0516 doppler radar ($1.2) | Joystick module ($1.5) | MPU-6050 6-axis IMU ($2) | QMC5883L compass ($2) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | 801S vibration sensor ($3) | Piezo shock/knock element ($3) | AS5600 magnetic angle ($3) | TLV493D 3D magnetic ($6) | MPR121 12-pad cap touch ($6) | Linear potentiometer / softpot ($6) | KX132 low-power accel ($6) | LIS2DW12 nanoamp accelerometer ($6.0) | FSR402 force resistor ($7) | BMM350 TMR magnetometer ($7.0) | MLX90393 wide-range 3D mag ($8) | Flex sensor 2.2"" ($8) | BMI270 wearable IMU ($8) | MPU-9250 9-axis (legacy) ($8) | Conductive thread + fabric pads ($8) | BMI323 6-axis IMU ($8.0) | LSM6DSOX ML-core IMU ($10) | Conductive rubber stretch cord ($10) | Ground vibration fence: fiber + photodiode ($10) | ICM-42688-P low-noise IMU ($10.0) | AS5048A 14-bit angle ($12) | BMA400 ultra-low-power accelerometer ($13.0) | LSM6DSO32 high-range IMU ($13.0) | ICM-20948 9-axis IMU ($15) | Draw-wire (string pot) sensor ($15) | High-g accel ADXL375 ($18) | Trill flexible touch sliders ($20) | LSM6DSV16X IMU with on-chip fusion ($20.0) | ISM330DHCX industrial IMU ($20.0) | BNO086 high-perf fusion IMU ($22) | DWM1001C UWB module with ready-made RTLS firmware ($22.0) | BNO055 fusion IMU ($25) | PMW3901 optical flow ($25.0) | PAA5100JE near-field optical flow ($25.0) | Inclinometer SCL3300 ($35) | ADXL355 low-noise accel ($38) | SCA3300 industrial inclinometer/accelerometer ($50.0) | Bend Labs digital flex (1-axis) ($70)"
object-count,Objects & assets,How many went past?,40,,FOUNDATION,Photoresistor (LDR) ($0.2),TI AWR1642 77GHz automotive radar EVM,Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2) | A3144 / SS49E Hall switches ($0.4) | Reed switch ($0.5) | Through-beam slot / photo-interrupter ($1) | TSOP38238 38kHz IR receiver ($1.0) | HC-SR04 ultrasonic ($1.5) | RC522 RFID reader ($2) | Inductive proximity switch M12/M18 ($2.5) | Piezo shock/knock element ($3) | 125kHz RDM6300 RFID ($3) | Photoelectric beam sensor E18-D80NK ($3) | US-100 ultrasonic w/ temp comp ($4) | VL53L0X ToF laser ($5) | HX711 + load cell ($5) | APDS-9960 gesture/color/prox ($6) | PN532 NFC controller ($6) | VCNL4040 proximity + lux ($6) | FSR402 force resistor ($7) | Capacitive proximity switch M18 ($7.0) | Sharp GP2Y0A21 IR distance ($8) | Nano33-style 1kg beam scale kit ($8) | OV2640 camera (ESP32-CAM) ($8) | Bat/dolphin: 40kHz ranging array ($8) | LDC1612 inductive sensing ($9) | VL53L1X long-range ToF ($12) | Scale-hacking: NAU7802 ($12) | Weight-in-motion: piezo cable ($15) | Grove Vision AI v2 ($16) | VL53L5CX 8x8 ToF array ($20) | TF-Luna LiDAR ($25) | VL53L8CX 8x8 depth zone array ($25.0) | Geophone SM-24 ($30) | YRM100 low-cost UHF reader module ($32.0) | RPLIDAR / LD19 scanning LiDAR ($40) | HuskyLens AI camera ($45) | Retro-reflective photoelectric sensor ($70.0) | Through-beam photoelectric pair ($95.0) | RPLIDAR A1 360 degree triangulation LiDAR ($99.0) | M6E-Nano UHF RAIN RFID reader ($275.0) | TI AWR1642 77GHz automotive radar EVM ($299.0)
container-fullness,Objects & assets,How full is it?,40,,FOUNDATION,Reed switch ($0.5),Guided-wave radar level transmitter,Reed switch ($0.5),Reed switch ($0.5),Reed switch ($0.5) | HC-SR04 ultrasonic ($1.5) | Photoelectric beam sensor E18-D80NK ($3) | US-100 ultrasonic w/ temp comp ($4) | Vertical float level switch (reed) ($4.0) | VL53L0X ToF laser ($5) | HX711 + load cell ($5) | Stainless vertical float level switch ($5.0) | JSN-SR04T waterproof ultrasonic ($6) | TLV493D 3D magnetic ($6) | Linear potentiometer / softpot ($6) | VCNL4040 proximity + lux ($6) | Water level capacitive strip ($7) | Capacitive proximity switch M18 ($7.0) | Sharp GP2Y0A21 IR distance ($8) | Nano33-style 1kg beam scale kit ($8) | Non-contact liquid level XKC-Y26 ($8) | VL6180X short-range ToF ($8) | A02YYUW waterproof ultrasonic ($9) | Capacitive liquid/force FDC1004 ($9) | VL53L1X long-range ToF ($12) | Scale-hacking: NAU7802 ($12) | VL53L4CD short-range precision ToF ($12.0) | MPRLS ported pressure ($15) | Draw-wire (string pot) sensor ($15) | MEMS ultrasonic ToF (Chirp) ($15.0) | Grove Vision AI v2 ($16) | Optical infrared water-in-fuel ($18) | STCC4 low-cost percent CO2 ($18.0) | VL53L5CX 8x8 ToF array ($20) | Ultrasonic liquid (through-wall) ($25) | S-type load cell ($35.0) | eTape liquid level ($40) | Snow/level laser (outdoor ToF) ($70) | Submersible hydrostatic level transmitter ($70.0) | Acconeer XM125 pulsed coherent radar ($70.0) | Vibrating-fork level switch ($90.0) | MaxBotix MB7389 weather LV ($110) | Benewake TF03 long-range industrial LiDAR ($180.0) | Guided-wave radar level transmitter ($290.0)
door-state,Objects & assets,Is it open or closed?,37,,FOUNDATION,ESP32 native touch pins ($0),Retro-reflective photoelectric sensor,Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2),"ESP32 native touch pins ($0) | Photoresistor (LDR) ($0.2) | A3144 / SS49E Hall switches ($0.4) | Reed switch ($0.5) | TTP223 single touch ($0.5) | SW-520D ball tilt switch ($0.5) | BMP280 budget barometer ($1.5) | MPU-6050 6-axis IMU ($2) | QMC5883L compass ($2) | BH1750 lux sensor ($2.5) | Inductive proximity switch M12/M18 ($2.5) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | SI4432/CC1101 sub-GHz sniffer ($4) | VEML7700 high-accuracy lux ($5) | MS5611 high-res altimeter ($6) | LPS22HB pressure sensor ($6) | XGZP6897D low-range diff pressure ($6) | MMC5603 precision magnetometer ($6) | TLV493D 3D magnetic ($6) | MPR121 12-pad cap touch ($6) | VCNL4040 proximity + lux ($6) | LIS2DW12 nanoamp accelerometer ($6.0) | DPS310 barometer ($7) | TSL2591 high dynamic lux ($7) | FSR402 force resistor ($7) | BMM350 TMR magnetometer ($7.0) | MLX90393 wide-range 3D mag ($8) | Flex sensor 2.2"" ($8) | LDC1612 inductive sensing ($9) | BMP390 precision barometer ($10) | Conductive rubber stretch cord ($10) | AS5048A 14-bit angle ($12) | BMA400 ultra-low-power accelerometer ($13.0) | Draw-wire (string pot) sensor ($15) | FDC2214 capacitive proximity front-end ($15.0) | Retro-reflective photoelectric sensor ($70.0)"
tamper-detected,Objects & assets,Has someone interfered with it?,33,,FOUNDATION,ESP32 native touch pins ($0),Inclinometer SCL3300,A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4),ESP32 native touch pins ($0) | A3144 / SS49E Hall switches ($0.4) | Reed switch ($0.5) | Piezo contact mic / disc ($0.5) | TTP223 single touch ($0.5) | SW-520D ball tilt switch ($0.5) | SW-420 vibration switch ($1) | MPU-6050 6-axis IMU ($2) | QMC5883L compass ($2) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | 801S vibration sensor ($3) | Piezo shock/knock element ($3) | Strain gauge + amp ($4) | SI4432/CC1101 sub-GHz sniffer ($4) | MMC5603 precision magnetometer ($6) | TLV493D 3D magnetic ($6) | MPR121 12-pad cap touch ($6) | KX132 low-power accel ($6) | ATECC608B secure element ($6.0) | LIS2DW12 nanoamp accelerometer ($6.0) | HDC3022 humidity + temp ($7) | MLX90393 wide-range 3D mag ($8) | BMI270 wearable IMU ($8) | ST25DV64K dual-interface NFC tag ($8.0) | BMI323 6-axis IMU ($8.0) | LDC1612 inductive sensing ($9) | LSM6DSOX ML-core IMU ($10) | Ground vibration fence: fiber + photodiode ($10) | BMA400 ultra-low-power accelerometer ($13.0) | High-g accel ADXL375 ($18) | Fingerprint reader R503 ($20) | Inclinometer SCL3300 ($35)
consumable-remaining,Objects & assets,"How much is left, and how long until it runs out?",24,,CORE,HC-SR04 ultrasonic ($1.5),Guided-wave radar level transmitter,HC-SR04 ultrasonic ($1.5),HC-SR04 ultrasonic ($1.5),HC-SR04 ultrasonic ($1.5) | Strain gauge + amp ($4) | US-100 ultrasonic w/ temp comp ($4) | VL53L0X ToF laser ($5) | HX711 + load cell ($5) | JSN-SR04T waterproof ultrasonic ($6) | Water level capacitive strip ($7) | Nano33-style 1kg beam scale kit ($8) | Non-contact liquid level XKC-Y26 ($8) | A02YYUW waterproof ultrasonic ($9) | Capacitive liquid/force FDC1004 ($9) | Scale-hacking: NAU7802 ($12) | VL53L4CD short-range precision ToF ($12.0) | MPRLS ported pressure ($15) | Optical infrared water-in-fuel ($18) | Ultrasonic liquid (through-wall) ($25) | Button / pancake load cell ($25.0) | S-type load cell ($35.0) | eTape liquid level ($40) | Snow/level laser (outdoor ToF) ($70) | MaxBotix MB7389 weather LV ($110) | Thermal microflow sensor for liquids ($150.0) | M6E-Nano UHF RAIN RFID reader ($275.0) | Guided-wave radar level transmitter ($290.0)
asset-location,Objects & assets,Where is this thing right now?,22,,FOUNDATION,RC522 RFID reader ($2),Livox Mid-360 3D LiDAR,Wi-Fi and magnetic fingerprint positioning ($5),Wi-Fi and magnetic fingerprint positioning ($5),RC522 RFID reader ($2) | 125kHz RDM6300 RFID ($3) | Wi-Fi and magnetic fingerprint positioning ($5.0) | PN532 NFC controller ($6) | NEO-6M GPS ($8) | nRF52 BLE beacon tag ($8.0) | SX1262 sub-GHz transceiver ($8.0) | Embroidered / fabric antenna ($10.0) | u-blox M10 GNSS ($20) | BN-880 GNSS module with on-board compass ($20.0) | DWM1001C UWB module with ready-made RTLS firmware ($22.0) | RTL-SDR receiver ($30.0) | YRM100 low-cost UHF reader module ($32.0) | DW1000 UWB two-way ranging radio ($40.0) | SAM-M10Q GNSS with integrated patch antenna ($40.0) | DW3000 UWB ranging radio (FiRa generation) ($48.0) | LC29H(DA) low-cost L1+L5 RTK rover ($55.0) | ANT-B10 Bluetooth angle-of-arrival anchor ($90.0) | ZED-F9P RTK centimetre GNSS ($260) | M6E-Nano UHF RAIN RFID reader ($275.0) | ZED-F9R dead-reckoning GNSS ($280.0) | Livox Mid-360 3D LiDAR ($749.0)
object-temperature,Objects & assets,How hot is that surface?,20,,FOUNDATION,NTC thermistor 10k ($0.3),Heimann HTPA80x64d thermopile array,MLX90614 IR thermometer ($8),NTC thermistor 10k ($0.3),NTC thermistor 10k ($0.3) | TMP36 analog temp ($1.5) | DS18B20 digital temp probe ($2.5) | ADS1115 16-bit ADC (the analog fixer) ($3) | MCP9808 precision temp ($5) | MLX90614 IR thermometer ($8) | MAX30205 clinical body temp ($9) | TMP117 ultra-precise temp ($11) | Thermocouple multiplexer board ($13) | MLX90632 miniature IR temp ($14) | MAX31855 thermocouple amp ($15) | MAX31865 RTD amplifier ($15) | MLX90614 forehead mode ($25) | Grid-EYE AMG8833 thermal array ($35) | MLX90621 16x4 fast thermal array ($60.0) | SenXor MI0801 CMOS thermal imager ($95.0) | Heimann HTPA32x32d thermopile array ($140.0) | FLIR Lepton 3.1R radiometric thermal module ($180.0) | InfiRay P2 Pro USB-C thermal camera ($270.0) | Heimann HTPA80x64d thermopile array ($350.0)
object-identity,Objects & assets,Which specific object is this?,18,,FOUNDATION,RC522 RFID reader ($2),M6E-Nano UHF RAIN RFID reader,NTAG I2C Plus 2K dual-interface tag ($6),Embroidered / fabric antenna ($10),RC522 RFID reader ($2) | 125kHz RDM6300 RFID ($3) | PN532 NFC controller ($6) | NTAG I2C Plus 2K dual-interface tag ($6.0) | OV2640 camera (ESP32-CAM) ($8) | ST25DV64K dual-interface NFC tag ($8.0) | Tire pressure TPMS receivers ($10) | Embroidered / fabric antenna ($10.0) | PN5180 long-range NFC / ISO15693 reader ($12.0) | OV5640 5MP autofocus cam ($15) | Grove Vision AI v2 ($16) | Fingerprint reader R503 ($20) | Tactile pressure array ($25.0) | RTL-SDR receiver ($30.0) | YRM100 low-cost UHF reader module ($32.0) | 134.2kHz FDX-B animal microchip reader ($35.0) | HuskyLens AI camera ($45) | M6E-Nano UHF RAIN RFID reader ($275.0)
object-dropped,Objects & assets,"Was it dropped, and how hard?",16,,FOUNDATION,Piezo contact mic / disc ($0.5),BNO086 high-perf fusion IMU,— none,SW-420 vibration switch ($1),Piezo contact mic / disc ($0.5) | SW-420 vibration switch ($1) | MPU-6050 6-axis IMU ($2) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | Piezo shock/knock element ($3) | HX711 + load cell ($5) | KX132 low-power accel ($6) | BMI270 wearable IMU ($8) | MPU-9250 9-axis (legacy) ($8) | LSM6DSOX ML-core IMU ($10) | Scale-hacking: NAU7802 ($12) | ICM-45686 premium 6-axis IMU ($12.0) | LSM6DSO32 high-range IMU ($13.0) | High-g accel ADXL375 ($18) | BNO086 high-perf fusion IMU ($22)
object-genuine,Objects & assets,Is this authentic or counterfeit?,12,,BROAD,PN532 NFC controller ($6),Hamamatsu C12880MA micro-spectrometer,NTAG I2C Plus 2K dual-interface tag ($6),ATECC608B secure element ($6),PN532 NFC controller ($6) | NTAG I2C Plus 2K dual-interface tag ($6.0) | ATECC608B secure element ($6.0) | ST25DV64K dual-interface NFC tag ($8.0) | LDC1612 inductive sensing ($9) | PN5180 long-range NFC / ISO15693 reader ($12.0) | OV5640 5MP autofocus cam ($15) | AS7263 NIR spectral ($27) | Time-of-flight spectroscopy: AS7263 trick ($35) | HuskyLens AI camera ($45) | Scintillating gamma spectrometer ($150) | Hamamatsu C12880MA micro-spectrometer ($330.0)
object-material,Objects & assets,What is this made of?,7,,CORE,TCS3200 frequency-output colour sensor ($4),Scintillating gamma spectrometer,TCS3200 frequency-output colour sensor ($4),TCS3200 frequency-output colour sensor ($4),TCS3200 frequency-output colour sensor ($4.0) | TCS34725 RGB color ($7) | LDC1612 inductive sensing ($9) | Geiger counter kit ($25) | Time-of-flight spectroscopy: AS7263 trick ($35) | AS7265x 18-channel spectral triad ($69.95) | Scintillating gamma spectrometer ($150)
livestock-wellbeing,Plants & soil,Are the animals comfortable and behaving normally?,18,,CORE,MQ-135 air quality ($2.5),Dissolved oxygen kit (Atlas EZO-DO),MQ-135 air quality ($2.5),MQ-135 air quality ($2.5),MQ-135 air quality ($2.5) | 125kHz RDM6300 RFID ($3) | DHT22 / AM2302 ($4) | SHTC3 tiny low-power RH/T ($4) | HX711 + load cell ($5) | Ultrasonic mic experiments ($6) | MLX90614 IR thermometer ($8) | LD1125H 24GHz respiration radar ($9) | LSM6DSOX ML-core IMU ($10) | Ground vibration fence: fiber + photodiode ($10) | SHT31 weatherproof probe ($12) | Scale-hacking: NAU7802 ($12) | Panasonic EKMC PIR (quality) ($12) | MiCS-6814 tri-gas ($20) | 134.2kHz FDX-B animal microchip reader ($35.0) | Winsen ZE03-NH3 ammonia module ($40.0) | Hydrophone ($45.0) | Dissolved oxygen kit (Atlas EZO-DO) ($170)
growth-rate,Plants & soil,How fast is it growing?,17,,CORE,Capacitive soil moisture v2 ($2),Livox Mid-360 3D LiDAR,OV2640 camera (ESP32-CAM) ($8),Capacitive soil moisture v2 ($2),Capacitive soil moisture v2 ($2) | HX711 + load cell ($5) | DS18B20 soil temp spear ($5) | Frustration-free moisture: plant leaf clip ($5) | Nano33-style 1kg beam scale kit ($8) | OV2640 camera (ESP32-CAM) ($8) | Chirp! plant sensor ($10) | SHT31 weatherproof probe ($12) | Scale-hacking: NAU7802 ($12) | OV5640 5MP autofocus cam ($15) | Draw-wire (string pot) sensor ($15) | Thermal flow: SDP + thermistor DIY ($40) | Watermark granular-matrix soil water sensor ($45) | Point dendrometer (stem diameter) ($70.0) | Apogee SQ-500 full-spectrum quantum (PAR) sensor ($400.0) | Sap flow probe (heat-ratio method) ($620.0) | Livox Mid-360 3D LiDAR ($749.0)
light-dose-daily,Plants & soil,Has this plant had enough light today?,17,,FOUNDATION,Photoresistor (LDR) ($0.2),Apogee SQ-500 full-spectrum quantum (PAR) sensor,Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2) | BH1750 lux sensor ($2.5) | MAX44009 ultra-low-power lux ($3) | TSL2561 lux sensor ($4) | VEML7700 high-accuracy lux ($5) | LTR-390 UV + ambient ($5) | VCNL4040 proximity + lux ($6) | VEML6030 ambient light sensor ($6.0) | TSL2591 high dynamic lux ($7) | SI1145 UV/IR/visible ($8) | OPT3001 photometric lux sensor ($8.0) | OPT4048 tristimulus color ($9) | Chirp! plant sensor ($10) | AS7341 11-channel spectral ($14) | AS7343 14-channel spectral sensor ($19.95) | Pyranometer (solar irradiance) ($60) | Apogee SQ-500 full-spectrum quantum (PAR) sensor ($400.0)
plant-thirsty,Plants & soil,Does this plant need water?,16,,CORE,Capacitive soil moisture v2 ($2),Sap flow probe (heat-ratio method),AS7263 NIR spectral ($27),Capacitive soil moisture v2 ($2),"Capacitive soil moisture v2 ($2) | HX711 + load cell ($5) | Frustration-free moisture: plant leaf clip ($5) | Chirp! plant sensor ($10) | Gypsum soil moisture block ($10.0) | Tipping bucket rain gauge ($12) | Scale-hacking: NAU7802 ($12) | MPRLS ported pressure ($15) | AS7263 NIR spectral ($27) | RS-485 soil NPK/EC probe ($40) | Watermark granular-matrix soil water sensor ($45) | Point dendrometer (stem diameter) ($70.0) | METER TEROS 12 soil moisture, EC and temperature ($220.0) | METER TEROS 21 soil water potential ($290.0) | True TDR soil water content probe ($395.0) | Sap flow probe (heat-ratio method) ($620.0)"
compost-active,Plants & soil,Is the compost heating properly — or dangerously?,14,,FOUNDATION,DS18B20 digital temp probe ($2.5),SprintIR-W fast wide-range NDIR CO2,DHT22 / AM2302 ($4),DS18B20 digital temp probe ($2.5),DS18B20 digital temp probe ($2.5) | DHT22 / AM2302 ($4) | DS18B20 soil temp spear ($5) | SHT31 weatherproof probe ($12) | Compost / hay temp lance ($15) | STCC4 low-cost percent CO2 ($18.0) | STC31 percent-level CO2 ($28.0) | SCD30 NDIR CO2 ($40) | Winsen ZE03-NH3 ammonia module ($40.0) | NDIR methane / hydrocarbon module ($45) | Soil CO2 flux chamber (closed dynamic) ($95.0) | INIR NDIR methane module ($130.0) | Dissolved oxygen kit (Atlas EZO-DO) ($170) | SprintIR-W fast wide-range NDIR CO2 ($190.0)
disease-pressure,Plants & soil,Are conditions right for fungal disease?,13,,FOUNDATION,AHT20 temp/humidity ($2),Sap flow probe (heat-ratio method),AHT20 temp/humidity ($2),AHT20 temp/humidity ($2),AHT20 temp/humidity ($2) | Capacitive rain/condensation plate ($3) | DHT22 / AM2302 ($4) | Si7021 humidity/temp ($4) | SHT41 humidity + temp ($6) | BME280 climate combo ($6) | HDC3022 humidity + temp ($7) | SHT31 weatherproof probe ($12) | Tipping bucket rain gauge ($12) | Leaf wetness sensor ($15) | Watermark granular-matrix soil water sensor ($45) | Alphasense OPC-N3 optical particle counter ($500.0) | Sap flow probe (heat-ratio method) ($620.0)
soil-fertility,Plants & soil,What is the nutrient status of this soil?,8,,BROAD,EC / TDS sensor ($12),True TDR soil water content probe,— none,EC / TDS sensor ($12),"EC / TDS sensor ($12) | Analog pH kit ($30) | RS-485 soil NPK/EC probe ($40) | Soil/water nitrate ion-selective ($90) | Soil CO2 flux chamber (closed dynamic) ($95.0) | Ammonium ion-selective electrode ($189.0) | METER TEROS 12 soil moisture, EC and temperature ($220.0) | True TDR soil water content probe ($395.0)"
fruit-ripe,Plants & soil,Is it ripe?,7,,CORE,TCS3200 frequency-output colour sensor ($4),AS7265x 18-channel spectral triad,TCS3200 frequency-output colour sensor ($4),TCS3200 frequency-output colour sensor ($4),TCS3200 frequency-output colour sensor ($4.0) | TCS34725 RGB color ($7) | AS7341 11-channel spectral ($14) | Grove Vision AI v2 ($16) | AS7263 NIR spectral ($27) | Time-of-flight spectroscopy: AS7263 trick ($35) | AS7265x 18-channel spectral triad ($69.95)
soil-ready-to-plant,Plants & soil,Is the soil warm enough to sow?,6,,FOUNDATION,DS18B20 digital temp probe ($2.5),True TDR soil water content probe,— none,DS18B20 digital temp probe ($2.5),"DS18B20 digital temp probe ($2.5) | DS18B20 soil temp spear ($5) | Chirp! plant sensor ($10) | RS-485 soil NPK/EC probe ($40) | METER TEROS 12 soil moisture, EC and temperature ($220.0) | True TDR soil water content probe ($395.0)"
soil-tension,Plants & soil,How hard must roots work to get water?,4,,COMPLETE,Gypsum soil moisture block ($10),METER TEROS 21 soil water potential,— none,Gypsum soil moisture block ($10),Gypsum soil moisture block ($10.0) | MPRLS ported pressure ($15) | Watermark granular-matrix soil water sensor ($45) | METER TEROS 21 soil water potential ($290.0)
hive-state,Plants & soil,What is the beehive doing?,3,rare,BROAD,HX711 + load cell ($5),S-type load cell,— none,HX711 + load cell ($5),HX711 + load cell ($5) | Scale-hacking: NAU7802 ($12) | S-type load cell ($35.0)
intrusion,Security & safety,Has someone entered who shouldn't have?,27,,FOUNDATION,Reed switch ($0.5),RPLIDAR A1 360 degree triangulation LiDAR,Reed switch ($0.5),Reed switch ($0.5),Reed switch ($0.5) | Piezo contact mic / disc ($0.5) | SW-420 vibration switch ($1) | RCWL-0516 doppler radar ($1.2) | HC-SR501 PIR motion ($1.5) | AM312 mini PIR ($2) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | INMP441 I2S MEMS mic ($3) | Piezo shock/knock element ($3) | SI4432/CC1101 sub-GHz sniffer ($4) | LD2410 mmWave presence ($5) | ICS-43434 I2S mic ($5) | MAX9814 AGC mic amp ($7) | SPH0645 I2S mic ($7) | OV2640 camera (ESP32-CAM) ($8) | LD1125H 24GHz respiration radar ($9) | Ground vibration fence: fiber + photodiode ($10) | LD2450 multi-target tracking radar ($12) | Panasonic EKMC PIR (quality) ($12) | Weight-in-motion: piezo cable ($15) | Wiegand-26 access control reader ($20.0) | DFRobot Gravity mmWave presence radar ($22) | Geophone SM-24 ($30) | RPLIDAR / LD19 scanning LiDAR ($40) | Through-beam photoelectric pair ($95.0) | RPLIDAR A1 360 degree triangulation LiDAR ($99.0)
vehicle-approaching,Security & safety,Is a vehicle arriving?,15,,FOUNDATION,QMC5883L compass ($2),TI AWR1642 77GHz automotive radar EVM,QMC5883L compass ($2),QMC5883L compass ($2),QMC5883L compass ($2) | Photoelectric beam sensor E18-D80NK ($3) | MMC5603 precision magnetometer ($6) | Panasonic EKMC PIR (quality) ($12) | Weight-in-motion: piezo cable ($15) | Grove Vision AI v2 ($16) | TF-Luna LiDAR ($25) | Geophone SM-24 ($30) | ADXL355 low-noise accel ($38) | Snow/level laser (outdoor ToF) ($70) | Retro-reflective photoelectric sensor ($70.0) | Through-beam photoelectric pair ($95.0) | Alphasense NO2-B43F electrochemical cell ($120.0) | Benewake TF03 long-range industrial LiDAR ($180.0) | TI AWR1642 77GHz automotive radar EVM ($299.0)
unusual-sound,Security & safety,Did something sound wrong?,13,,FOUNDATION,Piezo contact mic / disc ($0.5),Hydrophone,KY-037/038 sound modules ($1),KY-037/038 sound modules ($1),Piezo contact mic / disc ($0.5) | KY-037/038 sound modules ($1) | INMP441 I2S MEMS mic ($3) | Piezo shock/knock element ($3) | PDM MEMS microphone ($3.0) | ICS-43434 I2S mic ($5) | Ultrasonic mic experiments ($6) | MAX4466 adjustable mic amp ($6) | MAX9814 AGC mic amp ($7) | SPH0645 I2S mic ($7) | Geophone SM-24 ($30) | DFRobot dB meter ($37) | Hydrophone ($45.0)
authorised-to-use,Security & safety,Is this person allowed to operate this?,12,,FOUNDATION,RC522 RFID reader ($2),DW3000 UWB ranging radio (FiRa generation),NTAG I2C Plus 2K dual-interface tag ($6),ATECC608B secure element ($6),RC522 RFID reader ($2) | 125kHz RDM6300 RFID ($3) | PN532 NFC controller ($6) | NTAG I2C Plus 2K dual-interface tag ($6.0) | ATECC608B secure element ($6.0) | ST25DV64K dual-interface NFC tag ($8.0) | Person Sensor (Useful Sensors) ($10) | PN5180 long-range NFC / ISO15693 reader ($12.0) | Fingerprint reader R503 ($20) | Wiegand-26 access control reader ($20.0) | ID809 capacitive fingerprint module ($32.0) | DW3000 UWB ranging radio (FiRa generation) ($48.0)
